City,1000 tourist arrivals
London,15.640
Bangkok,10.350
Paris,9.700
Singapore,9.502
Dubai,6.120
Rome,6.033
Seoul,4.920
Barcelona,4.695
Dublin,4.469
Bahrain,4.418
Shanghai,4.315
Toronto,4.160
Istanbul,3.994
Madrid,3.921
Amsterdam,3.901
Mecca,3.800
Prague,3.702
Moscow,3.695
Beijing,3.593
Vienna,3.339
Taipei,3.280
St.Petersburg,3.200
Cancun,3.074
Macau,3.072
Venice,2.927
Warsaw,2.925
Mexico,2.823
Guangzhou,2.512
Benidorm,2.457
Berlin,2.309
Budapest,2.043
San Francisco,1.993
Orlando,1.993
Miami,1.972
Munich,1.925
Shenzen,1.904
Milan,1.902
Sydney,1.852
Oahu/Honolulu,1.733
Cairo,1.720
Florence,1.715
Lisbon,1.715
Las Vegas,1.647
Hangzhou,1.562
Marrakesh,1.500
Tokyo,1.467
Abu Dhabi,1.459
Varadero,1.448
Copenhagen,1.375
Zurich,1.369
Edinburgh,1.338
Cape Town,1.323
Zhuhai,1.318
Suzhou,1.286
Seville,1.234
Nice,1.227
S?o Paulo,1.095
Washington DC,1.062
Chicago,1.062
Guilin,1.021
Stockholm,1.003
Tallinn,1.001
Boston,997
Krakow,992
Melbourne,923
Manchester,912
Salzburg,874
Tianjin,850
Nanjing,843
Helsinki,842
Xi?an,801
Qingdao,795
Xiamen,792
Birmingham,779
Glasgow,741
Hamburg,739
Lyon,715
Montreal,679
Mumbai,672
Dalian,666
Bruges,641
Antwerp,636
Liverpool,625
New Delhi,612
Valencia,611
Kunming,607
Granada,606
Wuxi,594
Chennai,588
Geneva,577
Agra,560
Chongquing,544
Innsbruck,536
Oslo,522
Chengdu,508
Fortaleza,503
Atlanta,477
Houston,455
Bratislava,455
Oxford,449
Gothenburg,422
San Jose,412
Luxembourg,406
Bristol,403
BuenosAires,395
Reykjavik,371
Nuremberg,356
Naples,356
Buzios,355
Cardiff,355
Cambridge,348
Seattle,325
Newcastle-upon-Tyne,317
Florian?polis,314
Monaco,313
Leeds,292
Brighton/Hove,265
Ghent,261
York,253
Inverness,252
Heidelberg,245
Bath,245
Dijon,242
Genova,239
Dresden,227
Reims,226
Nottingham,219
Graz,206
Reading,202
Goa,200
Linz,199
Bilbao,198
Aberdeen,195
Marseille,180
Chester,173
Jerusalem,165
Saragossa,159
Tarragona,154
Malm?,131
Bregenz,96
Turku,87
Brussels,8.500
Oporto,2.390
Athens,5.700
Ljubljana,5.900
